split,K,use_time,recall@K,MRR@K,N
VAL,5,True,0.22182680901542112,0.17338068555426694,35406
VAL,5,False,0.16121561317290856,0.11832552226069337,35406
TEST,5,True,0.17884315009825164,0.14071102337422295,39694
TEST,5,False,0.12588804353302765,0.09411414396242092,39694
VAL,10,True,0.2478393492628368,0.17685671924150834,35406
VAL,10,False,0.18578771959554877,0.12158929044457066,35406
TEST,10,True,0.20086159117246938,0.1436432823880395,39694
TEST,10,False,0.14644530659545524,0.09687369484958369,39694
