split,K,baseline,recall@K,MRR@K,N
VAL,5,freq,0.004010619668982658,0.0018956297426048338,35406
VAL,5,markov,0.3014178387843868,0.23109924871490387,35406
TEST,5,freq,0.005013352143900841,0.0024588098957021216,39694
TEST,5,markov,0.24920642918325187,0.1922960648964546,39694
VAL,10,freq,0.008190702140880076,0.00243785467264539,35406
VAL,10,markov,0.30895893351409365,0.23216182083746645,35406
TEST,10,freq,0.008615911724693908,0.0029257050563797197,39694
TEST,10,markov,0.25699098100468587,0.19337744259457576,39694
